BC:34:00:E0:00:00/28	LLDTechn	LLD Technology Ltd.
E0:2C:B2	LenovoMo	Lenovo Mobile Communication (Wuhan) Company Limited
E0:2C:F3	MRSElect	MRS Electronic GmbH
E0:2E:0B	IntelCor	Intel Corporate
E0:2E:3F	HuaweiDe	Huawei Device Co., Ltd.
E0:2F:6D	Cisco	Cisco Systems, Inc
E0:30:05	Alcatel-	Alcatel-Lucent Shanghai Bell Co., Ltd
E0:30:F9	JuniperN	Juniper Networks
E0:31:9E	Valve	Valve Corporation
E0:31:D0	SZTelsta	SZ Telstar CO., LTD
E0:33:8E	Apple	Apple, Inc.
E0:34:E4	FeitElec	Feit Electric Company, Inc.
E0:35:60	Challeng	Challenger Supply Holdings, LLC
E0:36:76	HuaweiTe	Huawei Technologies Co.,Ltd
E0:36:E3	StageOne	Stage One International Co., Ltd.
E0:37:17	Technico	Technicolor CH USA Inc.
E0:37:BF	WistronN	Wistron Neweb Corporation
E0:38:3F	zte	zte corporation
E0:39:D7	Plexxi	Plexxi, Inc.
E0:3C:5B	Shenzhen	Shenzhen Jiaxinjie Electron Co.,Ltd
E0:3E:44	Broadcom
E0:3E:4A	Cavanagh	Cavanagh Group International
E0:3E:7D	data-com	data-complex GmbH
E0:3F:49	ASUSTekC	ASUSTek COMPUTER INC.
E0:40:07	HuaweiDe	Huawei Device Co., Ltd.
E0:41:02	zte	zte corporation
E0:41:36	MitraSta	MitraStar Technology Corp.
E0:43:DB	Shenzhen	Shenzhen ViewAt Technology Co.,Ltd.
E0:45:6D	ChinaMob	China Mobile Group Device Co.,Ltd.
E0:46:9A	Netgear
E0:46:E5	GosuncnT	Gosuncn Technology Group Co., Ltd.
E0:46:EE	Netgear
E0:48:AF	Premiete	Premietech Limited
E0:48:D3	Mobiwire	Mobiwire Mobiles (Ningbo) Co.,Ltd
E0:48:D8	Guangzhi	Guangzhi Wulian Technology(Guangzhou) Co., Ltd
E0:49:ED	Audeze	Audeze LLC
E0:4B:45	Hi-PElec	Hi-P Electronics Pte Ltd
E0:4B:A6	HuaweiTe	Huawei Technologies Co.,Ltd
E0:4F:43	Universa	Universal Global Scientific Industrial Co., Ltd.
E0:4F:BD	SichuanT	Sichuan Tianyi Comheart Telecom Co.,LTD
E0:50:8B	Zhejiang	Zhejiang Dahua Technology Co., Ltd.
E0:51:24	NXPSemic	NXP Semiconductors
E0:51:63	Arcadyan	Arcadyan Corporation
E0:51:D8	ChinaDra	China Dragon Technology Limited
E0:55:3D	CiscoMer	Cisco Meraki
E0:55:97	Emergent	Emergent Vision Technologies Inc.
E0:56:F4	AxesNetw	AxesNetwork Solutions inc.
E0:58:9E	LaerdalM	Laerdal Medical
E0:5A:9F	IEEERegi	IEEE Registration Authority
E0:5A:9F:00:00:00/28	Annapurn	Annapurna labs
E0:5A:9F:10:00:00/28	AitecSys	Aitec System Co., Ltd.
E0:5A:9F:20:00:00/28	ChengduS	Chengdu Song Yuan Electronic Technology Co.,Ltd
E0:5A:9F:30:00:00/28	LinkThin	Link of Things Co., Ltd.
E0:5A:9F:40:00:00/28	HaleProd	Hale Products
E0:5A:9F:50:00:00/28	Tryen
E0:5A:9F:60:00:00/28	Fibrain
E0:5A:9F:70:00:00/28	OMBGuita	OMB Guitars LLC
E0:5A:9F:80:00:00/28	FujianNe	Fujian Newland Auto-ID Tech. Co,.Ltd.
E0:5A:9F:90:00:00/28	GemaltoD	Gemalto "Document Readers"
E0:5A:9F:A0:00:00/28	Contempo	Contemporary Amperex Technology Co., Limited
E0:5A:9F:B0:00:00/28	Shenzhen	Shenzhen Rongan Networks Technology Co.,Ltd
E0:5A:9F:C0:00:00/28	ShenZhen	ShenZhen Mornsun Smartlinker Limited Co., LTD
E0:5A:9F:D0:00:00/28	Mountz	Mountz, Inc.
E0:5A:9F:E0:00:00/28	ShenZhen	ShenZhen Arts Changhua Intelligent Technology Co., Ltd
E0:5B:70	Innovid	Innovid, Co., Ltd.
E0:5D:5C	Everon	Oy Everon Ab
E0:5D:A6	DetlefFi	Detlef Fink Elektronik & Softwareentwicklung
E0:5F:45	Apple	Apple, Inc.
E0:5F:B9	Cisco	Cisco Systems, Inc
E0:60:66	Sercomm	Sercomm Corporation.
E0:60:89	Cloudlea	Cloudleaf, Inc.
E0:61:B2	Hangzhou	Hangzhou Zenointel Technology Co., Ltd
E0:62:34	TexasIns	Texas Instruments
E0:62:67	XiaomiCo	Xiaomi Communications Co Ltd
E0:62:90	JinanJov	Jinan Jovision Science & Technology Co., Ltd.
E0:63:DA	Ubiquiti	Ubiquiti Networks Inc.
E0:63:E5	Sony	Sony Corporation
E0:64:BB	DigiView	DigiView S.r.l.
E0:66:78	Apple	Apple, Inc.
E0:67:81	Dongguan	Dongguan Liesheng Electronic Co., Ltd.
E0:67:B3	Shenzhen	Shenzhen C-Data Technology Co., Ltd
E0:68:6D	Raybased	Raybased AB
E0:69:3A	Innophas	Innophase Inc.
E0:69:95	Pegatron	Pegatron Corporation
E0:69:BA	Cisco	Cisco Systems, Inc
E0:6A:05	Shenzhen	Shenzhen YOUHUA Technology Co., Ltd
E0:6C:4E	Shenzhen	Shenzhen TINNO Mobile Technology Corp.
E0:6C:A6	Creotech	Creotech Instruments S.A.
E0:6C:C5	HuaweiDe	Huawei Device Co., Ltd.
E0:6C:F6	ESSENCOR	ESSENCORE limited
E0:6D:17	Apple	Apple, Inc.
E0:6D:18	Pioneerc	Pioneercorporation
E0:70:EA	HP	HP Inc.
E0:72:0A	Shenzhen	Shenzhen SuperElectron Technology Co.,Ltd.
E0:73:5F	Nucom
E0:75:0A	Alpsalpi	Alpsalpine Co,.Ltd
E0:75:7D	Motorola	Motorola Mobility LLC, a Lenovo Company
E0:75:AA	BeijingJ	Beijing Jingling Information System Technology Co., Ltd.
E0:76:D0	AMPAKTec	AMPAK Technology, Inc.
E0:77:26	HuaweiDe	Huawei Device Co., Ltd.
E0:78:A3	Shanghai	Shanghai Winner Information Technology Co.,Inc
E0:79:5E	WuxiXiao	Wuxi Xiaohu Technology Co.,Ltd.
E0:79:8D	SiliconL	Silicon Laboratories
E0:79:C4	iRayTech	iRay Technology Company Limited
E0:7C:13	zte	zte corporation
E0:7C:62	WhistleL	Whistle Labs, Inc.
E0:7D:EA	TexasIns	Texas Instruments
E0:7E:5F	RenesasE	Renesas Electronics (Penang) Sdn. Bhd.
E0:7F:53	Techboar	Techboard Srl
E0:7F:88	EVIDENCE	EVIDENCE Network SIA
E0:80:6B	XiaomiCo	Xiaomi Communications Co Ltd
E0:81:77	GreenByt	GreenBytes, Inc.
E0:84:F3	HighGrad	High Grade Controls Corporation
E0:85:9A	Shenzhen	Shenzhen Rf-Link Technology Co.,Ltd.
E0:86:14	NovatelW	Novatel Wireless Solutions, Inc.
E0:87:B1	Nata-Inf	Nata-Info Ltd.
E0:88:5D	Technico	Technicolor CH USA Inc.
E0:89:7E	Apple	Apple, Inc.
E0:89:9D	Cisco	Cisco Systems, Inc
E0:8A:7E	Exponent
E0:8E:3C	AztechEl	Aztech Electronics Pte Ltd
E0:8F:EC	Repotec	Repotec Co., Ltd.
E0:91:3C	Kyeungin	Kyeungin CNS Co., Ltd.
E0:91:53	XAViTech	XAVi Technologies Corp.
E0:91:F5	Netgear
E0:92:5C	Apple	Apple, Inc.
E0:92:8F	TexasIns	Texas Instruments
E0:92:A7	FeitianT	Feitian Technologies Co., Ltd
E0:94:67	IntelCor	Intel Corporate
E0:95:79	ORTHOsof	ORTHOsoft inc, d/b/a Zimmer CAS
E0:97:96	HuaweiTe	Huawei Technologies Co.,Ltd
E0:97:F2	Atomax	Atomax Inc.
E0:98:06	Espressi	Espressif Inc.
E0:98:61	Motorola	Motorola Mobility LLC, a Lenovo Company
E0:99:71	SamsungE	Samsung Electronics Co.,Ltd
E0:9C:8D	Seakeepe	Seakeeper, Inc.
E0:9D:13	SamsungE	Samsung Electronics Co.,Ltd
E0:9D:31	IntelCor	Intel Corporate
E0:9D:B8	PlanexCo	Planex Communications Inc.
E0:9D:FA	WananHon	Wanan Hongsheng Electronic Co.Ltd
E0:9F:2A	ItonTech	Iton Technology Corp.
E0:A1:98	NOJAPowe	NOJA Power Switchgear Pty Ltd
E0:A1:D7	Sfr
E0:A2:58	WanbangD	Wanbang Digital Energy Co.,Ltd
E0:A2:5A	Shanghai	Shanghai Mo xiang Network Technology CO.,ltd
E0:A3:0F	Pevco
E0:A3:AC	HuaweiTe	Huawei Technologies Co.,Ltd
E0:A5:09	BitmainT	Bitmain Technologies Inc
E0:A6:70	Nokia	Nokia Corporation
E0:A7:00	Verkada	Verkada Inc
E0:A8:B8	LeShiZhi	Le Shi Zhi Xin Electronic Technology (Tianjin) Limited
E0:AA:96	SamsungE	Samsung Electronics Co.,Ltd
E0:AA:B0	Suntaili	Suntaili Enterprise Co. Ltd,
E0:AA:DB	NanjingP	Nanjing PANENG Technology Development Co.,Ltd
E0:AB:FE	OrbNetwo	Orb Networks, Inc.
E0:AC:CB	Apple	Apple, Inc.
E0:AC:F1	Cisco	Cisco Systems, Inc
E0:AE:5E	Alpsalpi	Alpsalpine Co,.Ltd
E0:AE:A2	HuaweiTe	Huawei Technologies Co.,Ltd
E0:AE:B2	Bender	Bender GmbH & Co.KG
E0:AE:ED	Loenk
E0:AF:4B	Pluribus	Pluribus Networks, Inc.
E0:AF:4F	Deutsche	Deutsche Telekom AG
E0:B2:60	TenoNetw	Teno Network Technologies Company Limited
E0:B2:F1	Fn-LinkT	Fn-Link Technology Limited
E0:B5:2D	Apple	Apple, Inc.
E0:B5:5F	Apple	Apple, Inc.
E0:B6:55	BeijingX	Beijing Xiaomi Electronics Co., Ltd.
E0:B6:F5	IEEERegi	IEEE Registration Authority
E0:B6:F5:00:00:00/28	BeSTAR	BeSTAR Corporation
E0:B6:F5:10:00:00/28	StartTod	Start Today Co.,Ltd.
E0:B6:F5:20:00:00/28	Shanghai	Shanghai- British Information Technology Co., Ltd
E0:B6:F5:30:00:00/28	HuizhouG	Huizhou GISUN Industrial CO. LTD
E0:B6:F5:40:00:00/28	Agora
E0:B6:F5:50:00:00/28	Shenzhen	Shenzhen Civicom Technology Co.,Limited
E0:B6:F5:60:00:00/28	POMCube	POMCube Inc.
E0:B6:F5:70:00:00/28	Shenzhen	Shenzhen Xrinda Technology Ltd
E0:B6:F5:80:00:00/28	YuneecIn	Yuneec International（China）Co.，Ltd
E0:B6:F5:90:00:00/28	Motivepr	Motiveprime Consumer Electronics Pvt Ltd
E0:B6:F5:A0:00:00/28	Folksam	Folksam AB
E0:B6:F5:B0:00:00/28	MoogCros	Moog Crossbow
E0:B6:F5:C0:00:00/28	funktel	funktel GmbH
E0:B6:F5:D0:00:00/28	ItelMobi	Itel Mobile Limited
E0:B6:F5:E0:00:00/28	AdvatekL	Advatek Lighting Pty Ltd
E0:B7:0A	ARRISGro	ARRIS Group, Inc.
E0:B7:2E	ShenZhen	ShenZhen Qualmesh Technology Co.,Ltd.
E0:B7:B1	ARRISGro	ARRIS Group, Inc.
E0:B9:4D	Shenzhen	Shenzhen Bilian Electronic Co.，Ltd
E0:B9:A5	AzureWav	AzureWave Technology Inc.
E0:B9:BA	Apple	Apple, Inc.
E0:B9:E5	Technico	Technicolor Delivery Technologies Belgium NV
E0:BA:B4	Arrcus	Arrcus, Inc
E0:BB:0C	Synertau	Synertau LLC
E0:BB:9E	SeikoEps	Seiko Epson Corporation
E0:BC:43	C2Micros	C2 Microsystems, Inc.
E0:BE:03	Lite-OnN	Lite-On Network Communication (Dongguan) Limited
E0:C0:D1	CKTeleco	CK Telecom (Shenzhen) Limited
E0:C2:86	AisaiCom	Aisai Communication Technology Co., Ltd.
E0:C2:B7	Masimo	Masimo Corporation
E0:C3:77	SamsungE	Samsung Electronics Co.,Ltd
E0:C3:F3	zte	zte corporation
E0:C5:8F	ChinaMob	China Mobile IOT Company Limited
E0:C6:3C	SichuanT	Sichuan Tianyi Comheart Telecom Co.,LTD
E0:C6:B3	MilDef	MilDef AB
E0:C7:67	Apple	Apple, Inc.
E0:C7:9D	TexasIns	Texas Instruments
E0:C8:6A	SHENZHEN	SHENZHEN TW-SCIE Co., Ltd
E0:C9:22	JirehEne	Jireh Energy Tech., Ltd.
E0:C9:7A	Apple	Apple, Inc.
E0:CA:4D	Shenzhen	Shenzhen Unistar Communication Co.,LTD
E0:CA:94	AskeyCom	Askey Computer Corp
E0:CB:1D	Private
E0:CB:4E	ASUSTekC	ASUSTek COMPUTER INC.
E0:CB:56	Shenzhen	Shenzhen iComm Semiconductor CO.,LTD
E0:CB:BC	CiscoMer	Cisco Meraki
E0:CB:EE	SamsungE	Samsung Electronics Co.,Ltd
E0:CC:7A	HuaweiTe	Huawei Technologies Co.,Ltd
E0:CC:F8	XiaomiCo	Xiaomi Communications Co Ltd
E0:CD:FD	BeijingE	Beijing E3Control Technology Co, LTD
E0:CE:C3	AskeyCom	Askey Computer Corp
E0:CF:2D	Gemintek	Gemintek Corporation
E0:D0:45	IntelCor	Intel Corporate
E0:D0:83	SamsungE	Samsung Electronics Co.,Ltd
E0:D1:0A	Katouden	Katoudenkikougyousyo co ltd
E0:D1:73	Cisco	Cisco Systems, Inc
E0:D1:E6	Aliphdba	Aliph dba Jawbone
E0:D3:1A	EQUESTec	EQUES Technology Co., Limited
E0:D4:62	HuaweiDe	Huawei Device Co., Ltd.
E0:D4:64	IntelCor	Intel Corporate
E0:D4:E8	IntelCor	Intel Corporate
E0:D5:5E	Giga-Byt	Giga-Byte Technology Co.,Ltd.
E0:D7:38	WireStar	WireStar Networks
E0:D7:BA	TexasIns	Texas Instruments
E0:D8:48	Dell	Dell Inc.
E0:D9:A2	Hippihap	Hippih aps
E0:D9:E3	EltexEnt	Eltex Enterprise Ltd.
E0:DA:90	HuaweiTe	Huawei Technologies Co.,Ltd
E0:DA:DC	JVCKENWO	JVC KENWOOD Corporation
E0:DB:10	SamsungE	Samsung Electronics Co.,Ltd
E0:DB:55	Dell	Dell Inc.
E0:DB:88	OpenStan	Open Standard Digital-IF Interface for SATCOM Systems
E0:DB:D1	Technico	Technicolor CH USA Inc.
E0:DC:A0	SiemensI	Siemens Industrial Automation Products Ltd Chengdu
E0:DC:FF	XiaomiCo	Xiaomi Communications Co Ltd
E0:DD:C0	vivoMobi	vivo Mobile Communication Co., Ltd.
E0:E0:C2	ChinaMob	China Mobile Group Device Co.,Ltd.
E0:E0:FC	HuaweiDe	Huawei Device Co., Ltd.
E0:E1:A9	Shenzhen	Shenzhen Four Seas Global Link Network Technology Co., Ltd.
E0:E2:E6	Espressi	Espressif Inc.
E0:E3:7C	HuaweiDe	Huawei Device Co., Ltd.
E0:E5:CF	TexasIns	Texas Instruments
E0:E6:2E	TCTmobil	TCT mobile ltd
E0:E6:31	SnbTechn	Snb Technologies Limited
E0:E6:56	Nethesis	Nethesis srl
E0:E7:51	Nintendo	Nintendo Co., Ltd.
E0:E7:BB	Nureva	Nureva, Inc.
E0:E8:BB	UnicomVs	Unicom Vsens Telecommunications Co., Ltd.
E0:E8:E6	Shenzhen	Shenzhen C-Data Technology Co., Ltd.
E0:E8:E8	OliveTel	Olive Telecommunication Pvt. Ltd
E0:EB:40	Apple	Apple, Inc.
E0:EB:62	Shanghai	Shanghai Hulu Devices Co., Ltd
E0:ED:1A	vastrive	vastriver Technology Co., Ltd
E0:ED:C7	Shenzhen	Shenzhen Friendcom Technology Development Co., Ltd
E0:EE:1B	Panasoni	Panasonic Automotive Systems Company of America
E0:EF:02	ChengduQ	Chengdu Quanjing Intelligent Technology Co.,Ltd
E0:EF:25	LintesTe	Lintes Technology Co., Ltd.
E0:F2:11	Digitalw	Digitalwatt
E0:F3:79	Vaddio
E0:F4:42	HuaweiDe	Huawei Device Co., Ltd.
E0:F5:C6	Apple	Apple, Inc.
E0:F5:CA	ChengUei	Cheng Uei Precision Industry Co.,Ltd.
E0:F6:2D	JuniperN	Juniper Networks
E0:F6:78	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
E0:F6:B5	Nintendo	Nintendo Co.,Ltd
E0:F7:28	AmazonTe	Amazon Technologies Inc.
E0:F8:47	Apple	Apple, Inc.
E0:F9:BE	Cloudena	Cloudena Corp.
E0:FA:EC	Platansp	Platan sp. z o.o. sp. k.
E0:FF:F1	TexasIns	Texas Instruments
E0:FF:F7	Softiron	Softiron Inc.
E2:0C:0F	Kingston	Kingston Technologies
E4:02:9B	IntelCor	Intel Corporate
E4:04:39	TomTomSo	TomTom Software Ltd
E4:05:F8	Bytedanc	Bytedance
E4:07:2B	HuaweiDe	Huawei Device Co., Ltd.
E4:08:E7	QuectelW	Quectel Wireless Solutions Co.,Ltd.
E4:0C:FD	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
E4:0E:EE	HuaweiTe	Huawei Technologies Co.,Ltd
E4:11:5B	HewlettP	Hewlett Packard
E4:12:18	ShenZhen	ShenZhen Rapoo Technology Co., Ltd.
E4:12:1D	SamsungE	Samsung Electronics Co.,Ltd
E4:12:89	topsyste	topsystem Systemhaus GmbH
E4:15:F6	TexasIns	Texas Instruments
E4:17:D8	8BitdoTe	8Bitdo Technology Hk Limited
E4:18:6B	ZyxelCom	Zyxel Communications Corporation
E4:19:C1	HuaweiTe	Huawei Technologies Co.,Ltd
E4:1A:2C	ZPE	ZPE Systems, Inc.
E4:1C:4B	V2Techno	V2 Technology, Inc.
E4:1D:2D	Mellanox	Mellanox Technologies, Inc.
E4:1E:0A	IEEERegi	IEEE Registration Authority
E4:1E:0A:00:00:00/28	Zavod№42	Zavod № 423
E4:1E:0A:10:00:00/28	Connecte	Connected Cars A/S
E4:1E:0A:20:00:00/28	IDvacoPr	IDvaco Private Limited
E4:1E:0A:30:00:00/28	AvastSof	Avast Software s.r.o.
E4:1E:0A:40:00:00/28	XPRGroup	XPR Group
E4:1E:0A:50:00:00/28	Aeroel	Aeroel srl
E4:1E:0A:60:00:00/28	SFCEnerg	SFC Energy AG
E4:1E:0A:70:00:00/28	Tritium	Tritium Pty Ltd
E4:1E:0A:80:00:00/28	SAGEGlas	SAGE Glass
E4:1E:0A:90:00:00/28	BMeters	B Meters S.R.L.
E4:1E:0A:A0:00:00/28	FireAnge	FireAngel Safety Technology Ltd
E4:1E:0A:B0:00:00/28	SafetyVi	Safety Vision, LLC
E4:1E:0A:C0:00:00/28	Teletask	Teletask Belgium
E4:1E:0A:D0:00:00/28	ROMOWind	ROMO Wind A/S
E4:1E:0A:E0:00:00/28	Shanghai	Shanghai LeXiang Technology Co., Ltd
E4:1F:13	IBM	IBM Corp
E4:1F:7B	Cisco	Cisco Systems, Inc
E4:1F:E9	Dunkermo	Dunkermotoren GmbH
E4:22:A5	Plantron	Plantronics, Inc.
E4:23:54	Shenzhen	Shenzhen Fuzhi Software Technology Co.,Ltd
E4:24:6C	Zhejiang	Zhejiang Dahua Technology Co., Ltd.
E4:25:E7	Apple	Apple, Inc.
E4:25:E9	Color-Ch	Color-Chip
E4:26:86	DWnetTec	DWnet Technologies(Suzhou) Corporation
E4:26:8B	HuaweiDe	Huawei Device Co., Ltd.
E4:27:61	HonorDev	Honor Device Co., Ltd.
E4:27:71	Smartlab	Smartlabs
E4:28:05	PivotalO	Pivotal Optics
E4:28:A4	PramaInd	Prama India Private Limited
E4:29:3D	Shenzhen	Shenzhen Sy-Fiber Optical Communication Technology.Co.,Ltd
E4:2A:AC	Microsof	Microsoft Corporation
E4:2A:D3	MagnetiM	Magneti Marelli S.p.A. Powertrain
E4:2B:34	Apple	Apple, Inc.
E4:2B:79	Nokia
E4:2C:56	Lilee	Lilee Systems, Ltd.
E4:2D:02	TCTmobil	TCT mobile ltd
E4:2D:7B	ChinaMob	China Mobile IOT Company Limited
E4:2F:26	Fiberhom	Fiberhome Telecommunication Technologies Co.,LTD
E4:2F:56	OptoMET	OptoMET GmbH
E4:2F:F6	Unicorec	Unicore communication Inc.
E4:30:22	HanwhaTe	Hanwha Techwin Security Vietnam
E4:32:CB	SamsungE	Samsung Electronics Co.,Ltd
E4:33:AE	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
E4:34:93	HuaweiTe	Huawei Technologies Co.,Ltd
E4:35:93	Hangzhou	Hangzhou GoTo technology Co.Ltd
E4:35:C8	HuaweiTe	Huawei Technologies Co.,Ltd
E4:35:FB	SabreTec	Sabre Technology (Hull) Ltd
E4:37:D7	HenriDep	Henri Depaepe S.A.S.
E4:38:83	Ubiquiti	Ubiquiti Networks Inc.
E4:38:8C	DigitalP	Digital Products Limited
E4:38:F2	Advantag	Advantage Controls
E4:3A:65	MofiNetw	MofiNetwork Inc
E4:3A:6E	Shenzhen	Shenzhen Zeroone Technology CO.,LTD
E4:3B:C9	HisenseV	Hisense Visual Technology Co.,Ltd
E4:3C:80	Universi	University of Oklahoma
E4:3D:1A	Broadcom	Broadcom Limited
E4:3E:C6	HuaweiTe	Huawei Technologies Co.,Ltd
E4:3E:D7	Arcadyan	Arcadyan Corporation
E4:3F:A2	WuxiDSPT	Wuxi DSP Technologies Inc.
E4:40:E2	SamsungE	Samsung Electronics Co.,Ltd
E4:41:22	OnePlusT	OnePlus Technology (Shenzhen) Co., Ltd
E4:41:64	Nokia
E4:41:E6	OttecTec	Ottec Technology GmbH
E4:42:A6	IntelCor	Intel Corporate
E4:43:4B	Dell	Dell Inc.
E4:44:E5	ExtremeN	Extreme Networks, Inc.
E4:46:B0	FujitsuC	Fujitsu Client Computing Limited
E4:46:BD	C&CTechn	C&C Technic Taiwan Co., Ltd.
E4:46:DA	XiaomiCo	Xiaomi Communications Co Ltd
E4:47:90	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
E4:47:91	IrisID	Iris ID Systems, Inc.
E4:47:B3	zte	zte corporation
E4:48:C7	CiscoSPV	Cisco SPVTG
E4:4C:6C	Shenzhen	Shenzhen Guo Wei Electronic Co,. Ltd.
E4:4C:C7	IEEERegi	IEEE Registration Authority
E4:4C:C7:00:00:00/28	AlertAla	Alert Alarm AB
E4:4C:C7:10:00:00/28	ACS-Solu	ACS-Solutions GmbH
E4:4C:C7:20:00:00/28	DoowonEl	Doowon Electronics & Telecom Co.,Ltd
E4:4C:C7:30:00:00/28	SvyazIng	JSC "Svyaz Inginiring M"
E4:4C:C7:40:00:00/28	BeijingZ	Beijing Zhongchuangwei Nanjing Quantum Communication Technology Co., Ltd.
E4:4C:C7:50:00:00/28	CeLabs	Ce Labs, Llc
E4:4C:C7:60:00:00/28	Hangzhou	Hangzhou Ole-Systems Co., Ltd
E4:4C:C7:70:00:00/28	ChannelE	Channel Enterprises (HK) Ltd.
E4:4C:C7:80:00:00/28	IagGroup	Iag Group Ltd
E4:4C:C7:90:00:00/28	Ottomate	Ottomate International Pvt. Ltd.
E4:4C:C7:A0:00:00/28	Muzik	Muzik Inc
E4:4C:C7:B0:00:00/28	SmallHD
E4:4C:C7:C0:00:00/28	EPSBio	EPS Bio
E4:4C:C7:D0:00:00/28	TeloLimi	Telo Systems Limitd
E4:4C:C7:E0:00:00/28	FLKinfor	FLK information security technology Co,. Ltd
E4:4E:18	Gardasof	Gardasoft VisionLimited
E4:4E:2D	Cisco	Cisco Systems, Inc
E4:4E:76	Champion	Championtech Enterprise (Shenzhen) Inc
E4:4F:29	MALighti	MA Lighting Technology GmbH
E4:4F:5F	EDSElekt	EDS Elektronik Destek San.Tic.Ltd.Sti
E4:50:9A	HWCommun	HW Communications Ltd
E4:50:EB	Apple	Apple, Inc.
E4:54:E8	Dell	Dell Inc.
E4:55:A8	CiscoMer	Cisco Meraki
E4:55:EA	Dedicate	Dedicated Computing
E4:56:14	SuttleAp	Suttle Apparatus
E4:57:40	ARRISGro	ARRIS Group, Inc.
E4:57:A8	StuartMa	Stuart Manufacturing, Inc.
E4:58:B8	SamsungE	Samsung Electronics Co.,Ltd
E4:58:E7	SamsungE	Samsung Electronics Co.,Ltd
E4:5A:A2	vivoMobi	vivo Mobile Communication Co., Ltd.
E4:5A:D4	EltexEnt	Eltex Enterprise Ltd.
E4:5D:37	JuniperN	Juniper Networks
E4:5D:51	Sfr
E4:5D:52	Avaya	Avaya Inc
E4:5D:75	SamsungE	Samsung Electronics Co.,Ltd
E4:5E:1B	Google	Google, Inc.
E4:5E:37	IntelCor	Intel Corporate
E4:5F:01	Raspberr	Raspberry Pi Trading Ltd
E4:60:59	Pingtek	Pingtek Co., Ltd.
E4:62:51	HaoCheng	Hao Cheng Group Limited
E4:64:49	ARRISGro	ARRIS Group, Inc.
E4:65:64	Shenzhen	Shenzhen Ktc Technology Co.,Ltd
E4:67:1E	SHENZHEN	SHEN ZHEN NUO XIN CHENG TECHNOLOGY co., Ltd.
E4:67:BA	DanishIn	Danish Interpretation Systems A/S
E4:68:A3	HuaweiTe	Huawei Technologies Co.,Ltd
E4:69:5A	DictumHe	Dictum Health, Inc.
E4:6A:35	RealmeCh	Realme Chongqing Mobile Telecommunications Corp.,Ltd.
E4:6C:21	messMa	messMa GmbH
E4:6F:13	D-LinkIn	D-Link International
E4:70:B8	IntelCor	Intel Corporate
E4:71:85	Securifi	Securifi Ltd
E4:72:E2	HuaweiTe	Huawei Technologies Co.,Ltd
E4:73:05	Shenzhen	Shenzhen INVT Electric CO.,Ltd
E4:75:1E	GetingeS	Getinge Sterilization AB
E4:75:DC	Arcadyan	Arcadyan Corporation
E4:76:84	Apple	Apple, Inc.
E4:77:23	zte	zte corporation
E4:77:27	HuaweiTe	Huawei Technologies Co.,Ltd
E4:77:6B	Aartesys	Aartesys Ag
E4:77:D4	MinrrayI	Minrray Industry Co.,Ltd
E4:7B:3F	BeijingC	Beijing Co-Cloud Technology Ltd.
E4:7C:65	SunstarC	Sunstar Communication Technology Co., Ltd
E4:7C:F9	SamsungE	Samsung Electronics Co.,Ltd
E4:7D:5A	BeijingH	Beijing Hanbang Technology Corp.
E4:7D:BD	SamsungE	Samsung Electronics Co.,Ltd
E4:7D:EB	Shanghai	Shanghai Notion Information Technology CO.,LTD.
E4:7E:66	HuaweiTe	Huawei Technologies Co.,Ltd
E4:7E:9A	zte	zte corporation
E4:7F:B2	Fujitsu	Fujitsu Limited
E4:81:84	Nokia
E4:81:B3	Shenzhen	Shenzhen ACT Industrial Co.,Ltd.
E4:82:10	HuaweiTe	Huawei Technologies Co.,Ltd
E4:82:CC	Jumptron	Jumptronic GmbH
E4:83:26	HuaweiTe	Huawei Technologies Co.,Ltd
E4:83:99	ARRISGro	ARRIS Group, Inc.
E4:84:2B	Hangzhou	Hangzhou Softel Optic Co., Ltd
E4:84:D3	XiaomiCo	Xiaomi Communications Co Ltd
E4:85:01	GeberitI	Geberit International AG
E4:8A:D5	RfWindow	Rf Window Co., Ltd.
E4:8B:7F	Apple	Apple, Inc.
E4:8C:0F	Discover	Discovery Insure
E4:8D:8C	Routerbo	Routerboard.com
E4:8F:1D	HuaweiDe	Huawei Device Co., Ltd.
E4:8F:34	Vodafone	Vodafone Italia S.p.A.
E4:8F:65	YelatmaI	Yelatma Instrument Making Enterprise, JSC
E4:90:2A	HuaweiTe	Huawei Technologies Co.,Ltd
E4:90:69	Rockwell	Rockwell Automation
E4:90:7E	Motorola	Motorola Mobility LLC, a Lenovo Company
E4:90:FD	Apple	Apple, Inc.
E4:92:2A	DbgHoldi	Dbg Holdings Limited
E4:92:E7	Gridlink	Gridlink Tech. Co.,Ltd.
E4:92:FB	SamsungE	Samsung Electronics Co.,Ltd
E4:93:6A	Guangdon	Guangdong Oppo Mobile Telecommunications Corp.,Ltd
E4:95:6E	IEEERegi	IEEE Registration Authority
E4:95:6E:00:00:00/28	SMCNetwo	SMC Networks, Inc
E4:95:6E:10:00:00/28	Tband	Tband srl
E4:95:6E:20:00:00/28	Shanghai	Shanghai Hoping Technology Co., Ltd.
